customer_id,email,hashed_email,zip_code,product_category,last_activity_date,total_purchases,total_spend,engagement_score,premium_interaction_flag,engagement_tier
C0066,kai.khan79@protonmail.com,40d43083f6dac721a2aebccfef60806adb4ea4cf765ec167db8ebd26fd37e2a0,10001,Skincare,2026-07-12,0,0.00,10,0,high
C0128,mila.ali22@protonmail.com,,33101,Skincare,2026-07-21,0,0.00,7,1,medium
C0151,mila.jones98@protonmail.com,790416e25cfdbcba877e1a8ab7995d31d073298c23f76f88ffce6ac0666f7049,33101,Skincare,2026-07-18,0,0.00,2,0,low
C0169,zoe.rossi19@gmail.com,,10001,Skincare,2026-08-11,0,0.00,11,0,high
C0257,lucas.das44@icloud.com,,02108,Skincare,2026-07-05,0,0.00,1,0,low
C0042,omar.lopez70@yahoo.com,d1f9bd50221907423ce780a76f316ae7ffd55e9debe9bbc5a10eed072600cba8,19103,Skincare,2026-09-14,0,0.00,1,0,low
C0055,ruby.iyer8@outlook.com,135fbf0628e4672cc6d6189a1501a5bff798894e7b588b970e1ecf13acd56ca6,10001,Skincare,2026-07-31,0,0.00,17,1,high
C0092,aisha.khan71@yahoo.com,c345366088f085537518a8a0fb4f2312a8ebaaa0f53cf35636bee0fce4df30fc,94102,Skincare,2026-08-02,0,0.00,2,1,low
C0103,noah.das29@yahoo.com,56fcf1e2cf4c9c346cdf75f47d055dc4c020f62b06083e2fc4aaa3dc93019952,48201,Skincare,2026-06-25,0,0.00,10,0,high
C0106,sofia.fernandez79@protonmail.com,d0eee6fdac94d2b62f9fcf9deaa676090c1691831356eed98ecfc8cce33d490c,02108,Skincare,2026-08-13,0,0.00,7,1,medium
C0112,zoe.lopez9@icloud.com,,02108,Skincare,2026-08-17,0,0.00,1,0,low
C0218,liam.kaur96@icloud.com,43adaa4467eda2c14303ef0a4342129a68d3223df941c9f559c6aa62a27b755c,80202,Skincare,2026-08-07,0,0.00,2,0,low
C0014,mateo.lopez86@outlook.com,1e7421d816a3de3bbeeb5143b7e40aff4a6437b257913df7151b8b372928ccf7,19103,Skincare,2026-07-10,0,0.00,5,0,medium
C0138,ruby.rossi42@yahoo.com,67abc719102174b4e0eda7794e0543bf7d7a79e5b7e8d90a9c88c19a1f0b0f6f,80202,Skincare,2026-09-10,0,0.00,4,1,medium
C0161,elena.brooks58@icloud.com,,30301,Skincare,2026-07-27,0,0.00,1,0,low
C0170,arjun.kaur96@protonmail.com,86591675fb0adefc81acef276c03dd2155fe0219a1fece64b206ebfa14ad6c25,85001,Skincare,2026-07-01,0,0.00,2,0,low
C0185,nina.gupta16@gmail.com,,78701,Skincare,2026-08-01,0,0.00,2,1,low
C0200,nina.kim68@icloud.com,f4bb88aefe4b02b3c912dd21c9134835a04d7af2efd31d76208b19dd34fc8d90,10001,Skincare,2026-09-17,0,0.00,8,1,medium
C0269,mila.khan44@outlook.com,4183af472d177dfe2c75721316f4ab52a059584e1b892ae1601390a1c6683fde,10001,Skincare,2026-09-14,0,0.00,6,1,medium
C0021,zoe.singh96@protonmail.com,,20001,Skincare,2026-07-27,0,0.00,12,0,high
C0022,ruby.das75@icloud.com,,75201,Skincare,2026-08-27,0,0.00,1,1,low
C0031,ethan.iyer68@gmail.com,88c3aef2ef86f1f3e1cae66e507500a800f63980d1e41079446cece3d954ea36,33101,Skincare,2026-07-17,0,0.00,1,1,low
C0195,kai.iyer49@icloud.com,,85001,Skincare,2026-07-01,0,0.00,2,0,low
C0224,elena.haddad35@yahoo.com,,30301,Skincare,2026-07-24,0,0.00,2,0,low
C0282,aisha.iyer91@yahoo.com,b5cc544f2d35a7695014c84acf96e5658669da7dd6730a4d5ba0273d2ffc8ea1,20001,Skincare,2026-07-16,0,0.00,3,1,low
C0005,kai.das29@icloud.com,,33101,Skincare,2026-08-20,0,0.00,2,1,low
C0078,ethan.sharma53@gmail.com,424b58dc1a1c50ddfe082637f8f0a52e8a158261c6a9511083ec22faa6b766c8,60601,Skincare,2026-09-11,0,0.00,11,1,high
C0090,dev.murphy85@gmail.com,c494b63eec7842f3391d8477647779dbd3eed98e89e6a653e14fd59fb36b45db,,Skincare,2026-09-09,0,0.00,2,0,low
C0104,elena.fernandez7@protonmail.com,d80438127e054f9b70f6ace0e03dd92b4ea9fbfb9f6b523522bb5e1fea123b7f,94102,Skincare,2026-09-02,0,0.00,5,1,medium
C0130,arjun.jones87@icloud.com,dfa83dd29f1523c6fbe9de95ed711211caa1bef7f981925557d8596cc6524b9d,02108,Skincare,2026-07-30,0,0.00,2,0,low
C0259,mateo.nguyen88@icloud.com,,90001,Skincare,2026-09-07,0,0.00,4,1,medium
C0296,maya.gupta57@outlook.com,8c55e4345a7063a75f6f572c7556f626de6c8cc2c97d96df7f4aa389ea148531,,Skincare,2026-07-11,0,0.00,2,0,low
C0023,zoe.haddad64@gmail.com,11911ffae79114e795ead7c9e2fb31b57125e019c59a3401212ed57fcdc11c42,48201,Skincare,2026-09-11,0,0.00,1,0,low
C0041,liam.murphy10@protonmail.com,,94102,Skincare,2026-08-26,0,0.00,12,1,high
C0061,priya.murphy31@outlook.com,f63dd70e3df7f3e1c2be74988b2774d7b616571cd17b77ab7ea066fe83b31787,02108,Skincare,2026-07-18,0,0.00,3,1,low
C0098,dev.murphy12@yahoo.com,27a596a895734f1297f734ea853b734e1c57ff0bf3fffc9b38960c9bf530f5bc,78701,Skincare,2026-08-23,0,0.00,1,0,low
C0162,leo.khan73@protonmail.com,8c5d58406111ea47010c19402ad78648d652e605285c4b15e970d8051be4e3d6,10001,Skincare,2026-09-09,0,0.00,6,1,medium
C0037,priya.khan52@outlook.com,,98101,Skincare,2026-08-14,0,0.00,5,1,medium
C0119,nina.nguyen80@protonmail.com,76b96205473eff2cfba575a9d8f604e10185edc7ebcdf27ce6cdfd143891120c,10001,Skincare,2026-07-06,0,0.00,5,0,medium
C0123,aisha.rossi97@icloud.com,,30301,Skincare,2026-09-20,0,0.00,8,0,medium
C0248,maya.gupta58@outlook.com,5f214486af53cea554214ff43639a7ad2cc95ac5d14deb758c857851f638e2bc,20001,Skincare,2026-08-23,0,0.00,4,0,medium
C0044,priya.kim13@icloud.com,c8db7bde386b44b511efc0467d7998d41f08d85068bed4bb2cb9c0cf608c1301,75201,Skincare,2026-07-01,0,0.00,1,1,low
C0068,noah.iyer20@outlook.com,3865091b97ce35e4b5f470aabc93d8d0707506a6fb7ead75d53cb29d6dca509a,30301,Skincare,2026-09-06,0,0.00,1,0,low
C0081,nina.ali40@yahoo.com,,94102,Skincare,2026-09-05,0,0.00,1,0,low
C0111,maya.nguyen20@yahoo.com,340ef53ca29ccbf12ca3dcd15bc574ed4fcbf881c98ef3194189c98895769110,02108,Skincare,2026-08-19,0,0.00,1,0,low
C0136,nina.nguyen56@yahoo.com,87766c886da573d32c409f6a58646c2015e3df9be814be66b7a3eadcc6e76084,19103,Skincare,2026-08-29,0,0.00,2,1,low
C0214,mila.fernandez39@yahoo.com,,,Skincare,2026-08-04,0,0.00,2,0,low
C0273,sofia.jones77@gmail.com,,85001,Skincare,2026-09-18,0,0.00,5,0,medium
C0101,ruby.lopez92@icloud.com,,98101,Skincare,2026-07-04,0,0.00,10,1,high
C0124,maya.gupta3@protonmail.com,aa079ee612e2c8a597b645de5d638ac0c74af97afb09bd5298af1dcc8a6bb3c3,10001,Skincare,2026-07-14,0,0.00,11,1,high
C0133,liam.ali69@icloud.com,,78701,Skincare,2026-09-19,0,0.00,12,0,high
C0150,kai.sharma25@yahoo.com,,19103,Skincare,2026-08-14,0,0.00,2,0,low
C0189,mila.das62@icloud.com,891ce21032d4dd09218beccd85ae0d35c84041027d2e039e70620c5632ebb2a3,94102,Skincare,2026-08-28,0,0.00,1,0,low
C0241,lucas.nguyen73@yahoo.com,,90001,Skincare,2026-07-11,0,0.00,1,1,low
C0074,mateo.jones71@yahoo.com,52a289f1c6fe29ab0f04ed6b9fb03843ddca878b1dffd19b0cddcb07596d52bd,02108,Skincare,2026-07-08,0,0.00,1,0,low
C0149,mila.singh16@yahoo.com,,75201,Skincare,2026-06-29,0,0.00,1,1,low
C0178,mateo.das43@outlook.com,94525e9961e358441919055ac4d47f820b69474a4cf7d8397de558359bdd2f33,78701,Skincare,2026-09-04,0,0.00,1,1,low
C0239,mila.lopez16@icloud.com,511a7709703f904892b8ea8eafedb2c00ea94214bcf87e34c391ac8e2a1cb161,90001,Skincare,2026-07-18,0,0.00,1,0,low
C0295,dev.murphy81@outlook.com,8b5a01d9178c1f0f731ff766681060881dc5a5c4e57c9b72621d92ef40daa2c6,60601,Skincare,2026-09-07,0,0.00,6,1,medium
C0154,liam.patel71@outlook.com,d6266f2202b7845deca0c4276b5e71610a1df808510dbccf6d8f1446e91ee67f,19103,Skincare,2026-07-22,0,0.00,2,1,low
C0165,ethan.chen53@icloud.com,,19103,Skincare,2026-08-17,0,0.00,10,0,high
C0177,ethan.jones56@icloud.com,,90001,Skincare,2026-08-03,0,0.00,3,1,low
C0201,zoe.das84@yahoo.com,,90001,Skincare,2026-08-04,0,0.00,5,1,medium
C0208,zoe.singh68@icloud.com,,33101,Skincare,2026-09-11,0,0.00,11,1,high
C0274,zoe.sharma97@protonmail.com,73c6cf357e2b2baf091823e8c0f4e393e186c8b7d70c707401a25438dcf100c3,10001,Skincare,2026-08-13,0,0.00,1,0,low
C0291,mateo.ali94@yahoo.com,,94102,Skincare,2026-08-24,0,0.00,3,1,low
